,Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,YOB,Item_Outlet_Sales
1680,FDO09,13.5,Regular,0.12578499,Snack Foods,261.691,OUT018,2009,Medium,Tier 3,Supermarket Type2,10,3725.318965
1681,NCG30,20.2,Low Fat,0.112299979,Household,126.4046,OUT035,2004,Small,Tier 2,Supermarket Type1,15,1832.822288
1682,FDM09,11.15,Regular,0.086417608,Snack Foods,168.679,OUT017,2007,Medium,Tier 2,Supermarket Type1,12,2667.929901
1683,NCN17,12.5,Low Fat,0.054672984,Health and Hygiene,101.0358,OUT027,1985,Medium,Tier 3,Supermarket Type3,34,2731.524916
1684,NCS42,8.6,Low Fat,0.0693587,Household,89.9146,OUT013,1987,High,Tier 3,Supermarket Type1,32,1548.400381
1685,FDD02,12.5,Low Fat,0.088053052,Canned,117.0124,OUT019,1985,Small,Tier 1,Grocery Store,34,303.6222396
1686,FDE34,9.195,Low Fat,0.107801614,Snack Foods,182.3634,OUT013,1987,High,Tier 3,Supermarket Type1,32,3442.640387
1687,FDU38,10.8,Low Fat,0.08271731,Dairy,192.6504,OUT045,2002,Medium,Tier 2,Supermarket Type1,17,2912.687655
1688,FDB33,17.75,Low Fat,0.014580169,Fruits and Vegetables,157.5262,OUT046,1997,Small,Tier 1,Supermarket Type1,22,2643.375091
1689,NCJ29,10.6,Low Fat,0.035391991,Health and Hygiene,86.8224,OUT017,2007,Medium,Tier 2,Supermarket Type1,12,1329.068559
1690,FDZ27,7.935,Low Fat,0.017153018,Dairy,48.135,OUT035,2004,Small,Tier 2,Supermarket Type1,15,739.4146764
1691,FDI40,11.5,Regular,0.125498428,Frozen Foods,99.7358,OUT013,1987,High,Tier 3,Supermarket Type1,32,1644.648696
1692,FDG22,17.6,Regular,0.041346719,Snack Foods,37.819,OUT013,1987,High,Tier 3,Supermarket Type1,32,703.4932702
1693,FDT51,11.65,Regular,0.010980551,Meat,110.7544,OUT017,2007,Medium,Tier 2,Supermarket Type1,12,1818.639547
1694,FDF20,12.85,Low Fat,0.033355494,Fruits and Vegetables,198.5768,OUT018,2009,Medium,Tier 3,Supermarket Type2,10,2943.186548
1695,FDV50,14.3,Low Fat,0.122548032,Dairy,122.173,OUT035,2004,Small,Tier 2,Supermarket Type1,15,1700.608436
1696,FDT02,12.6,Low Fat,0.024232347,Dairy,36.1874,OUT049,1999,Medium,Tier 1,Supermarket Type1,20,681.9877406
1697,DRC49,8.67,Low Fat,0.065806717,Soft Drinks,144.6128,OUT017,2007,Medium,Tier 2,Supermarket Type1,12,2255.809236
1698,FDF26,6.825,Regular,0.046707264,Canned,151.9998,OUT049,1999,Medium,Tier 1,Supermarket Type1,20,2491.468681
1699,FDV52,20.7,Regular,0,Frozen Foods,118.6466,OUT035,2004,Small,Tier 2,Supermarket Type1,15,2023.434621
1700,FDX59,10.195,Low Fat,0.051741591,Breads,35.2558,OUT049,1999,Medium,Tier 1,Supermarket Type1,20,678.6430484
1701,FDV25,5.905,Low Fat,0.045643611,Canned,222.0456,OUT035,2004,Small,Tier 2,Supermarket Type1,15,4174.203841
1702,FDW23,12.5,Low Fat,0.081615145,Baking Goods,38.6164,OUT027,1985,Medium,Tier 3,Supermarket Type3,34,1541.308056
1703,FDE53,10.895,Low Fat,0.026989658,Frozen Foods,107.728,OUT018,2009,Medium,Tier 3,Supermarket Type2,10,1399.192148
1704,FDA19,7.52,Low Fat,0.055439323,Fruits and Vegetables,130.0994,OUT017,2007,Medium,Tier 2,Supermarket Type1,12,2041.90655
1705,FDH22,6.405,Low Fat,0.136300946,Snack Foods,126.0678,OUT046,1997,Small,Tier 1,Supermarket Type1,22,1915.096078
1706,NCO41,12.5,Low Fat,0.018833177,Health and Hygiene,97.8384,OUT013,1987,High,Tier 3,Supermarket Type1,32,1588.746489
1707,FDX12,18.2,Regular,0.026211917,Baking Goods,241.3196,OUT017,2007,Medium,Tier 2,Supermarket Type1,12,4280.223456
1708,FDF17,5.19,Low Fat,0.042585419,Frozen Foods,196.911,OUT013,1987,High,Tier 3,Supermarket Type1,32,3013.023093
1709,FDS11,7.05,Regular,0.055671183,Breads,222.3088,OUT045,2002,Medium,Tier 2,Supermarket Type1,17,3656.167678
1710,FDR51,9.035,Regular,0.173436917,Meat,150.0708,OUT035,2004,Small,Tier 2,Supermarket Type1,15,2655.293488
1711,FDT49,7,Low Fat,0.253421913,Canned,106.228,OUT010,1998,Medium,Tier 3,Grocery Store,21,233.0503481
1712,FDC56,7.72,Low Fat,0.121419594,Fruits and Vegetables,120.244,OUT013,1987,High,Tier 3,Supermarket Type1,32,1930.104947
1713,FDR13,12.5,Regular,0.02858175,Canned,116.4492,OUT027,1985,Medium,Tier 3,Supermarket Type3,34,2728.981198
1714,FDQ60,6.195,Regular,0.10935376,Baking Goods,120.4098,OUT035,2004,Small,Tier 2,Supermarket Type1,15,2194.675947
1715,FDN38,6.615,Regular,0.092114847,Canned,248.7408,OUT049,1999,Medium,Tier 1,Supermarket Type1,20,4179.803733
1716,NCL29,9.695,Low Fat,0.113844617,Health and Hygiene,157.8604,OUT013,1987,High,Tier 3,Supermarket Type1,32,2402.567461
1717,FDO13,12.5,Low Fat,0.060763988,Breakfast,164.0526,OUT027,1985,Medium,Tier 3,Supermarket Type3,34,4121.362415
1718,FDE26,9.3,Low Fat,0.089368341,Canned,143.8786,OUT018,2009,Medium,Tier 3,Supermarket Type2,10,2148.040831
1719,FDA31,7.1,Low Fat,0.18413701,Fruits and Vegetables,172.808,OUT010,1998,Medium,Tier 3,Grocery Store,21,437.7991473
1720,FDX14,13.1,Low Fat,0.07492586,Dairy,75.3354,OUT035,2004,Small,Tier 2,Supermarket Type1,15,1340.434402
1721,FDA34,11.5,Low Fat,0.014890695,Starchy Foods,174.108,OUT045,2002,Medium,Tier 2,Supermarket Type1,17,3582.209689
1722,FDF26,6.825,Regular,0.046595951,Canned,153.0998,OUT013,1987,High,Tier 3,Supermarket Type1,32,2317.467708
1723,FDE38,6.52,Low Fat,0.044697626,Canned,166.5842,OUT045,2002,Medium,Tier 2,Supermarket Type1,17,2461.813505
1724,DRI11,8.26,Low Fat,0.034404287,Hard Drinks,113.5834,OUT046,1997,Small,Tier 1,Supermarket Type1,22,2147.810828
1725,FDQ60,12.5,Regular,0.108844791,Baking Goods,118.5098,OUT027,1985,Medium,Tier 3,Supermarket Type3,34,2742.536373
1726,FDL21,12.5,Regular,0.007111808,Snack Foods,39.348,OUT027,1985,Medium,Tier 3,Supermarket Type3,34,1474.451018
1727,DRC12,12.5,Low Fat,0.037643694,Soft Drinks,192.0188,OUT027,1985,Medium,Tier 3,Supermarket Type3,34,5105.514391
1728,FDC47,15,Low Fat,0.118890636,Snack Foods,227.9694,OUT046,1997,Small,Tier 1,Supermarket Type1,22,3236.727767
1729,FDE57,9.6,Low Fat,0.036358713,Fruits and Vegetables,140.0154,OUT045,2002,Medium,Tier 2,Supermarket Type1,17,2010.519574
1730,FDT14,10.695,Regular,0.127986136,Dairy,120.344,OUT045,2002,Medium,Tier 2,Supermarket Type1,17,2217.759606
1731,NCZ53,9.6,Low Fat,0.024477166,Health and Hygiene,189.6214,OUT046,1997,Small,Tier 1,Supermarket Type1,22,3497.070453
1732,FDE28,9.5,Regular,0.133086933,Frozen Foods,230.1668,OUT018,2009,Medium,Tier 3,Supermarket Type2,10,3705.121667
1733,FDR19,13.5,Regular,0.159690469,Fruits and Vegetables,144.2102,OUT035,2004,Small,Tier 2,Supermarket Type1,15,2716.636728
1734,NCF54,12.5,Low Fat,0.082951105,Household,173.7422,OUT019,1985,Small,Tier 1,Grocery Store,34,457.3223689
1735,FDZ08,12.5,Regular,0.109992376,Fruits and Vegetables,81.1592,OUT046,1997,Small,Tier 1,Supermarket Type1,22,1222.477847
1736,NCJ05,18.7,Low Fat,0.046276017,Health and Hygiene,154.2682,OUT018,2009,Medium,Tier 3,Supermarket Type2,10,2590.081099
1737,FDF59,12.5,Low Fat,0.071244009,Starchy Foods,127.102,OUT046,1997,Small,Tier 1,Supermarket Type1,22,1895.018185
1738,NCO05,7.27,Low Fat,0.046550645,Health and Hygiene,100.4384,OUT035,2004,Small,Tier 2,Supermarket Type1,15,2131.997796
1739,FDW24,6.8,Low Fat,0.037649797,Baking Goods,49.5034,OUT018,2009,Medium,Tier 3,Supermarket Type2,10,787.7722207
1740,NCX42,6.36,Low Fat,0.00600295,Household,166.1526,OUT018,2009,Medium,Tier 3,Supermarket Type2,10,2741.469577
1741,NCA53,11.395,Low Fat,0.009876591,Health and Hygiene,48.2034,OUT035,2004,Small,Tier 2,Supermarket Type1,15,839.6408261
1742,FDI45,12.5,Low Fat,0.065799906,Fruits and Vegetables,177.0054,OUT019,1985,Small,Tier 1,Grocery Store,34,501.7349579
1743,FDG46,8.63,Regular,0.032909657,Snack Foods,112.9518,OUT046,1997,Small,Tier 1,Supermarket Type1,22,2325.216631
1744,FDM20,10,Low Fat,0.064752101,Fruits and Vegetables,243.3144,OUT010,1998,Medium,Tier 3,Grocery Store,21,581.8555739
1745,FDW11,12.6,Low Fat,0.081651205,Breads,61.6194,OUT010,1998,Medium,Tier 3,Grocery Store,21,253.0585541
1746,FDX08,12.85,Low Fat,0.022599777,Fruits and Vegetables,179.2318,OUT035,2004,Small,Tier 2,Supermarket Type1,15,2888.794625
1747,NCK17,11,Low Fat,0.03788768,Health and Hygiene,40.648,OUT035,2004,Small,Tier 2,Supermarket Type1,15,671.1775402
1748,FDK32,16.25,Regular,0.049175079,Fruits and Vegetables,151.5682,OUT018,2009,Medium,Tier 3,Supermarket Type2,10,2296.757643
1749,NCA42,6.965,Low Fat,0.028543185,Household,159.4604,OUT035,2004,Small,Tier 2,Supermarket Type1,15,2818.557658
1750,DRI01,7.97,Low Fat,0.034446434,Soft Drinks,170.7422,OUT035,2004,Small,Tier 2,Supermarket Type1,15,2951.309346
1751,NCL55,12.15,Low Fat,0,Others,254.004,OUT049,1999,Medium,Tier 1,Supermarket Type1,20,3839.018966
1752,DRE25,15.35,Low Fat,0.073581718,Soft Drinks,94.412,OUT018,2009,Medium,Tier 3,Supermarket Type2,10,1345.186731
1753,FDD14,20.7,Low Fat,0.170768961,Canned,183.5266,OUT017,2007,Medium,Tier 2,Supermarket Type1,12,3076.1701
1754,FDB10,10,Low Fat,0.067208123,Snack Foods,235.559,OUT046,1997,Small,Tier 1,Supermarket Type1,22,3398.207192
1755,DRN11,7.85,Low Fat,0.162949459,Hard Drinks,145.0444,OUT035,2004,Small,Tier 2,Supermarket Type1,15,2441.099678
1756,FDP38,10.1,Low Fat,0.032232864,Canned,50.9008,OUT018,2009,Medium,Tier 3,Supermarket Type2,10,767.2953943
1757,NCA30,19,Low Fat,0.130065297,Household,188.6872,OUT017,2007,Medium,Tier 2,Supermarket Type1,12,3071.793397
1758,FDT15,12.15,Regular,0.042922946,Meat,184.695,OUT017,2007,Medium,Tier 2,Supermarket Type1,12,2953.312469
1759,NCP55,14.65,Low Fat,0.011235608,Others,57.0614,OUT018,2009,Medium,Tier 3,Supermarket Type2,10,846.9413581
1760,FDF12,8.235,Low Fat,0.082412268,Baking Goods,148.5076,OUT035,2004,Small,Tier 2,Supermarket Type1,15,2410.108712
1761,FDM21,20.2,Low Fat,0.06462627,Snack Foods,256.2646,OUT018,2009,Medium,Tier 3,Supermarket Type2,10,3341.525085
1762,FDX56,17.1,Regular,0.07404547,Fruits and Vegetables,205.8638,OUT035,2004,Small,Tier 2,Supermarket Type1,15,3805.526897
1763,FDF10,15.5,Regular,0.157816029,Snack Foods,145.4418,OUT017,2007,Medium,Tier 2,Supermarket Type1,12,2622.69391
1764,FDT32,19,Regular,0.065767041,Fruits and Vegetables,189.6214,OUT045,2002,Medium,Tier 2,Supermarket Type1,17,3177.055012
1765,FDM51,11.8,Regular,0.026031835,Meat,101.2674,OUT018,2009,Medium,Tier 3,Supermarket Type2,10,1297.629019
1766,NCR50,20.2,Low Fat,0.011868237,Household,154.434,OUT018,2009,Medium,Tier 3,Supermarket Type2,10,2333.152427
1767,FDI19,15.1,Low Fat,0.052420442,Meat,242.4512,OUT049,1999,Medium,Tier 1,Supermarket Type1,20,3797.522902
1768,FDX21,7.05,Low Fat,0.085446623,Snack Foods,107.8912,OUT017,2007,Medium,Tier 2,Supermarket Type1,12,1554.724569
1769,FDR31,6.46,Regular,0.049153588,Fruits and Vegetables,145.3102,OUT035,2004,Small,Tier 2,Supermarket Type1,15,2472.634074
1770,FDY02,8.945,Regular,0.08757299,Dairy,261.191,OUT013,1987,High,Tier 3,Supermarket Type1,32,4342.568401
1771,NCA29,10.5,Low Fat,0,Household,170.6106,OUT045,2002,Medium,Tier 2,Supermarket Type1,17,3408.243003
1772,NCX17,21.25,Low Fat,0.113603432,Health and Hygiene,231.73,OUT046,1997,Small,Tier 1,Supermarket Type1,22,3307.504822
1773,FDM12,16.7,Regular,0.070058787,Baking Goods,190.3214,OUT045,2002,Medium,Tier 2,Supermarket Type1,17,2463.2942
1774,FDI53,12.5,Regular,0.136978402,Frozen Foods,160.4236,OUT027,1985,Medium,Tier 3,Supermarket Type3,34,3838.78707
1775,NCU30,5.11,Low Fat,0,Household,164.121,OUT049,1999,Medium,Tier 1,Supermarket Type1,20,2860.842866
1776,FDC56,12.5,Low Fat,0.120932251,Fruits and Vegetables,121.044,OUT027,1985,Medium,Tier 3,Supermarket Type3,34,3165.585585
1777,FDK27,11,Low Fat,0.00898298,Meat,123.0756,OUT018,2009,Medium,Tier 3,Supermarket Type2,10,1557.409486
1778,NCK18,9.6,Low Fat,0.00673599,Household,166.4184,OUT017,2007,Medium,Tier 2,Supermarket Type1,12,2992.822421
1779,FDB52,12.5,Low Fat,0.053288809,Dairy,257.5672,OUT019,1985,Small,Tier 1,Grocery Store,34,537.6954497
1780,DRG25,12.5,Low Fat,0.018957442,Soft Drinks,188.324,OUT027,1985,Medium,Tier 3,Supermarket Type3,34,5188.715997
1781,FDZ13,7.84,Regular,0.153733623,Canned,51.935,OUT049,1999,Medium,Tier 1,Supermarket Type1,20,963.6227243
1782,FDB57,12.5,Regular,0.032925311,Fruits and Vegetables,223.5772,OUT019,1985,Small,Tier 1,Grocery Store,34,502.909745
1783,FDR40,9.1,Regular,0.008034387,Frozen Foods,82.5618,OUT046,1997,Small,Tier 1,Supermarket Type1,22,1365.95223
1784,NCO14,12.5,Low Fat,0.051902594,Household,44.7086,OUT019,1985,Small,Tier 1,Grocery Store,34,165.5257798
1785,NCN19,13.1,Low Fat,0.012124086,Others,190.753,OUT045,2002,Medium,Tier 2,Supermarket Type1,17,3072.059336
1786,FDQ28,12.5,Regular,0.105799985,Frozen Foods,155.0656,OUT019,1985,Small,Tier 1,Grocery Store,34,355.7979103
1787,FDO13,7.865,Low Fat,0.061308404,Breakfast,164.8526,OUT018,2009,Medium,Tier 3,Supermarket Type2,10,2154.146113
1788,FDK48,7.445,Low Fat,0,Baking Goods,77.2354,OUT013,1987,High,Tier 3,Supermarket Type1,32,1155.24457
1789,FDU07,11.1,Low Fat,0.060090767,Fruits and Vegetables,152.5366,OUT018,2009,Medium,Tier 3,Supermarket Type2,10,2269.414176
1790,FDW20,20.75,Low Fat,0,Fruits and Vegetables,123.373,OUT046,1997,Small,Tier 1,Supermarket Type1,22,2378.100613
1791,FDV12,16.7,Regular,0.101891731,Baking Goods,98.7384,OUT010,1998,Medium,Tier 3,Grocery Store,21,207.6726669
1792,FDH24,20.7,Low Fat,0.021413299,Baking Goods,158.2288,OUT013,1987,High,Tier 3,Supermarket Type1,32,2394.62331
1793,FDV59,13.35,Low Fat,0.048101713,Breads,216.0166,OUT049,1999,Medium,Tier 1,Supermarket Type1,20,3765.731125
1794,FDK57,10.195,Low Fat,0.080455726,Snack Foods,120.144,OUT045,2002,Medium,Tier 2,Supermarket Type1,17,1759.16373
1795,FDL16,12.5,Low Fat,0.16763712,Frozen Foods,45.506,OUT027,1985,Medium,Tier 3,Supermarket Type3,34,1596.74961
1796,NCQ17,10.3,Low Fat,0.116932555,Health and Hygiene,155.463,OUT046,1997,Small,Tier 1,Supermarket Type1,22,2308.553436
1797,FDJ15,11.35,Regular,0.023417483,Dairy,185.1608,OUT018,2009,Medium,Tier 3,Supermarket Type2,10,2711.091135
1798,FDX24,8.355,Low Fat,0,Baking Goods,93.5462,OUT049,1999,Medium,Tier 1,Supermarket Type1,20,1488.460244
1799,FDT47,5.26,Regular,0,Breads,96.3068,OUT046,1997,Small,Tier 1,Supermarket Type1,22,1893.872696
1800,FDT10,16.7,Regular,0.062140968,Snack Foods,60.8562,OUT049,1999,Medium,Tier 1,Supermarket Type1,20,924.7111948
1801,FDZ37,8.1,Regular,0.019849032,Canned,87.7198,OUT018,2009,Medium,Tier 3,Supermarket Type2,10,1235.476405
1802,FDW43,12.5,Regular,0.022316641,Fruits and Vegetables,229.5036,OUT027,1985,Medium,Tier 3,Supermarket Type3,34,5572.756874
1803,DRN36,15.2,Low Fat,0.050461669,Soft Drinks,95.5752,OUT017,2007,Medium,Tier 2,Supermarket Type1,12,1651.811101
1804,FDJ14,10.3,Regular,0.05017202,Canned,80.596,OUT045,2002,Medium,Tier 2,Supermarket Type1,17,1325.643274
1805,FDA32,14,Low Fat,0.030069149,Fruits and Vegetables,217.4192,OUT013,1987,High,Tier 3,Supermarket Type1,32,3347.877046
1806,FDJ38,12.5,Regular,0.070394702,Canned,190.053,OUT019,1985,Small,Tier 1,Grocery Store,34,688.3832407
1807,FDQ57,7.275,Low Fat,0,Snack Foods,146.776,OUT017,2007,Medium,Tier 2,Supermarket Type1,12,2339.064423
1808,NCQ41,12.5,Low Fat,0,Health and Hygiene,193.5794,OUT019,1985,Small,Tier 1,Grocery Store,34,680.7163744
1809,FDG56,13.3,Regular,0.071563651,Fruits and Vegetables,59.9536,OUT049,1999,Medium,Tier 1,Supermarket Type1,20,977.0418528
1810,DRC13,12.5,Regular,0.032284472,Soft Drinks,123.973,OUT027,1985,Medium,Tier 3,Supermarket Type3,34,2751.85719
1811,FDV55,17.75,Low Fat,0.055063016,Fruits and Vegetables,144.5444,OUT035,2004,Small,Tier 2,Supermarket Type1,15,2552.160492
1812,FDQ49,20.2,Regular,0,Breakfast,157.363,OUT045,2002,Medium,Tier 2,Supermarket Type1,17,2433.238644
1813,FDE29,8.905,Low Fat,0.239568811,Frozen Foods,60.4878,OUT010,1998,Medium,Tier 3,Grocery Store,21,188.7393221
1814,FDR03,15.7,Regular,0,Meat,205.798,OUT013,1987,High,Tier 3,Supermarket Type1,32,3745.955925
1815,FDD45,8.615,Low Fat,0,Fruits and Vegetables,92.9436,OUT049,1999,Medium,Tier 1,Supermarket Type1,20,1436.097347
1816,FDN38,6.615,Regular,0.153942031,Canned,249.7408,OUT010,1998,Medium,Tier 3,Grocery Store,21,576.8183359
1817,FDT56,16,Regular,0.115592409,Fruits and Vegetables,58.1246,OUT046,1997,Small,Tier 1,Supermarket Type1,22,834.5589415
1818,FDT48,4.92,Low Fat,0.046048229,Baking Goods,200.0084,OUT045,2002,Medium,Tier 2,Supermarket Type1,17,3517.961948
1819,FDU03,18.7,Regular,0.091720302,Meat,180.8292,OUT049,1999,Medium,Tier 1,Supermarket Type1,20,3255.14475
1820,FDC56,7.72,Low Fat,0.203400773,Fruits and Vegetables,118.944,OUT010,1998,Medium,Tier 3,Grocery Store,21,226.6858441
1821,NCO43,12.5,Low Fat,0.046870135,Others,99.3016,OUT027,1985,Medium,Tier 3,Supermarket Type3,34,2640.474231
1822,FDQ27,5.19,Regular,0.044502932,Meat,101.699,OUT017,2007,Medium,Tier 2,Supermarket Type1,12,1900.172208
1823,FDR03,15.7,Regular,0.008735936,Meat,205.998,OUT046,1997,Small,Tier 1,Supermarket Type1,22,3176.649316
1824,DRH23,14.65,Low Fat,0.285077835,Hard Drinks,54.1614,OUT010,1998,Medium,Tier 3,Grocery Store,21,178.0485221
1825,FDG22,17.6,Regular,0.041465078,Snack Foods,38.119,OUT045,2002,Medium,Tier 2,Supermarket Type1,17,611.6905461
1826,NCJ42,19.75,Low Fat,0.014289425,Household,103.8332,OUT013,1987,High,Tier 3,Supermarket Type1,32,1385.233322
1827,FDR24,17.35,Regular,0.062851683,Baking Goods,90.583,OUT046,1997,Small,Tier 1,Supermarket Type1,22,1481.014201
1828,FDW60,5.44,Regular,0.017058723,Baking Goods,176.037,OUT035,2004,Small,Tier 2,Supermarket Type1,15,2978.206041
1829,FDJ08,11.1,Low Fat,0.110580006,Fruits and Vegetables,190.0846,OUT013,1987,High,Tier 3,Supermarket Type1,32,3324.636505
1830,DRL59,16.75,Low Fat,0.021310584,Hard Drinks,52.2298,OUT018,2009,Medium,Tier 3,Supermarket Type2,10,866.3645087
1831,FDG60,20.35,Low Fat,0.101598896,Baking Goods,232.7616,OUT010,1998,Medium,Tier 3,Grocery Store,21,538.7487338
1832,FDW27,5.86,Regular,0,Meat,155.9314,OUT017,2007,Medium,Tier 2,Supermarket Type1,12,2718.516493
1833,FDX14,13.1,Low Fat,0.075245304,Dairy,77.1354,OUT018,2009,Medium,Tier 3,Supermarket Type2,10,1264.406543
1834,FDC20,10.65,Low Fat,0.023951515,Fruits and Vegetables,56.0272,OUT013,1987,High,Tier 3,Supermarket Type1,32,795.5702916
1835,NCS29,9,Low Fat,0.069828759,Health and Hygiene,263.6884,OUT018,2009,Medium,Tier 3,Supermarket Type2,10,3447.239514
1836,FDJ56,8.985,Low Fat,0.183403018,Fruits and Vegetables,100.47,OUT046,1997,Small,Tier 1,Supermarket Type1,22,1525.755706
1837,FDB20,12.5,Low Fat,0.091011438,Fruits and Vegetables,77.0986,OUT019,1985,Small,Tier 1,Grocery Store,34,240.6348377
1838,FDL28,12.5,Regular,0.062868628,Frozen Foods,228.6668,OUT027,1985,Medium,Tier 3,Supermarket Type3,34,5360.791291
1839,FDW01,14.5,Low Fat,0.064321473,Canned,151.7682,OUT018,2009,Medium,Tier 3,Supermarket Type2,10,2017.75155
1840,FDL03,19.25,Regular,0.027080602,Meat,197.611,OUT046,1997,Small,Tier 1,Supermarket Type1,22,2879.156761
1841,FDX22,6.785,Regular,0.023010532,Snack Foods,209.1928,OUT049,1999,Medium,Tier 1,Supermarket Type1,20,4125.029156
1842,FDJ21,16.7,Regular,0.038520943,Snack Foods,144.6102,OUT035,2004,Small,Tier 2,Supermarket Type1,15,2947.663195
1843,FDR31,6.46,Regular,0.049262588,Fruits and Vegetables,147.6102,OUT045,2002,Medium,Tier 2,Supermarket Type1,17,2677.379449
1844,FDG21,17.35,Regular,0.146272238,Seafood,151.505,OUT035,2004,Small,Tier 2,Supermarket Type1,15,3165.983409
1845,FDS22,12.5,Regular,0.023042273,Snack Foods,42.6428,OUT027,1985,Medium,Tier 3,Supermarket Type3,34,1503.733794
1846,FDK08,9.195,Regular,0.122281599,Fruits and Vegetables,99.4016,OUT035,2004,Small,Tier 2,Supermarket Type1,15,1671.692365
1847,FDE17,20.1,Regular,0.054677324,Frozen Foods,151.7366,OUT018,2009,Medium,Tier 3,Supermarket Type2,10,2178.548941
1848,NCN30,16.35,Low Fat,0.017089325,Household,95.841,OUT017,2007,Medium,Tier 2,Supermarket Type1,12,1513.280762
1849,FDT50,6.75,Regular,0.108238986,Dairy,97.2752,OUT046,1997,Small,Tier 1,Supermarket Type1,22,1288.553043
1850,NCX42,6.36,Low Fat,0.005987891,Household,163.6526,OUT049,1999,Medium,Tier 1,Supermarket Type1,20,3103.096792
1851,FDJ12,8.895,Regular,0.039033732,Baking Goods,207.8296,OUT035,2004,Small,Tier 2,Supermarket Type1,15,3369.281511
1852,NCA18,12.5,Low Fat,0.055806016,Household,117.4492,OUT027,1985,Medium,Tier 3,Supermarket Type3,34,2749.735058
1853,FDP23,12.5,Low Fat,0.062307997,Breads,217.4166,OUT019,1985,Small,Tier 1,Grocery Store,34,542.4455695
1854,FDX12,18.2,Regular,0,Baking Goods,241.4196,OUT013,1987,High,Tier 3,Supermarket Type1,32,3991.933253
1855,FDN40,5.88,Low Fat,0.086808977,Frozen Foods,152.7998,OUT018,2009,Medium,Tier 3,Supermarket Type2,10,2394.065926
1856,FDV48,9.195,Regular,0.051607098,Baking Goods,77.8644,OUT035,2004,Small,Tier 2,Supermarket Type1,15,1365.703144
1857,NCY54,8.43,Low Fat,0.177546973,Household,171.9422,OUT013,1987,High,Tier 3,Supermarket Type1,32,3003.623692
1858,FDL16,12.85,Low Fat,0.281955554,Frozen Foods,46.006,OUT010,1998,Medium,Tier 3,Grocery Store,21,164.3756725
1859,FDR45,10.8,Low Fat,0.029061192,Snack Foods,240.0222,OUT018,2009,Medium,Tier 3,Supermarket Type2,10,2460.910005
1860,FDJ52,7.145,Low Fat,0.017786864,Frozen Foods,161.0578,OUT046,1997,Small,Tier 1,Supermarket Type1,22,2478.943642
1861,DRG01,14.8,Low Fat,0.04513213,Soft Drinks,77.167,OUT017,2007,Medium,Tier 2,Supermarket Type1,12,1397.78473
1862,FDP52,18.7,Regular,0.070632902,Frozen Foods,231.201,OUT013,1987,High,Tier 3,Supermarket Type1,32,3857.516496
1863,FDU58,6.61,Regular,0.029175827,Snack Foods,186.5898,OUT017,2007,Medium,Tier 2,Supermarket Type1,12,3239.479557
1864,FDL02,20,Regular,0.10429446,Canned,105.5622,OUT045,2002,Medium,Tier 2,Supermarket Type1,17,1606.651034
1865,FDG28,9.285,Regular,0.049239282,Frozen Foods,244.1144,OUT013,1987,High,Tier 3,Supermarket Type1,32,3691.94787
1866,FDA19,7.52,Low Fat,0.055117075,Fruits and Vegetables,128.7994,OUT035,2004,Small,Tier 2,Supermarket Type1,15,2144.082437
1867,FDW46,12.5,Regular,0.069961219,Snack Foods,66.4484,OUT027,1985,Medium,Tier 3,Supermarket Type3,34,2042.337591
1868,NCD43,8.85,Low Fat,0.016044864,Household,103.1964,OUT049,1999,Medium,Tier 1,Supermarket Type1,20,1555.796607
1869,DRG39,14.15,Low Fat,0.042145893,Dairy,51.7982,OUT013,1987,High,Tier 3,Supermarket Type1,32,770.6259954
1870,NCF55,6.675,Low Fat,0.021700021,Household,35.5874,OUT049,1999,Medium,Tier 1,Supermarket Type1,20,716.2180996
1871,FDJ07,7.26,Low Fat,0.014423523,Meat,118.015,OUT046,1997,Small,Tier 1,Supermarket Type1,22,1998.921388
1872,FDE08,18.2,Low Fat,0.049319685,Fruits and Vegetables,150.0734,OUT046,1997,Small,Tier 1,Supermarket Type1,22,2355.219265
1873,FDP56,12.5,Low Fat,0.081387725,Fruits and Vegetables,49.6692,OUT019,1985,Small,Tier 1,Grocery Store,34,193.6420341
1874,FDT45,15.85,Low Fat,0.057429676,Snack Foods,53.2956,OUT045,2002,Medium,Tier 2,Supermarket Type1,17,793.576607
1875,FDF17,5.19,Low Fat,0.042794507,Frozen Foods,195.011,OUT018,2009,Medium,Tier 3,Supermarket Type2,10,2912.543007
1876,FDX44,9.3,Low Fat,0.042966544,Fruits and Vegetables,87.7172,OUT046,1997,Small,Tier 1,Supermarket Type1,22,1400.241648
1877,FDM28,12.5,Low Fat,0.044984953,Frozen Foods,179.866,OUT027,1985,Medium,Tier 3,Supermarket Type3,34,4787.283826
1878,FDI36,12.5,Regular,0.062440359,Baking Goods,197.9426,OUT049,1999,Medium,Tier 1,Supermarket Type1,20,3115.685997
1879,FDS07,12.35,Low Fat,0.099960144,Fruits and Vegetables,115.2518,OUT045,2002,Medium,Tier 2,Supermarket Type1,17,1752.409976
1880,FDD36,13.3,Low Fat,0.021316704,Baking Goods,117.7124,OUT045,2002,Medium,Tier 2,Supermarket Type1,17,2000.571333
